,date,temperature_2m_max,temperature_2m_min,precipitation_sum,wind_speed_10m_max
70,2014-03-12 04:00:00+00:00,65.8976,30.6176,0.12992126,18.568447
71,2014-03-13 04:00:00+00:00,30.7076,20.5376,0.0,22.154207
72,2014-03-14 04:00:00+00:00,47.4476,24.4076,0.0,14.107296
73,2014-03-15 04:00:00+00:00,58.247597,42.1376,0.0,17.178354
74,2014-03-16 04:00:00+00:00,42.2276,30.7976,0.027559055,9.496058
75,2014-03-17 04:00:00+00:00,32.9576,25.4876,0.17322832,10.516279
76,2014-03-18 04:00:00+00:00,43.667603,26.0276,0.0,10.408663
77,2014-03-19 04:00:00+00:00,46.0076,30.4376,0.62204725,8.84959
78,2014-03-20 04:00:00+00:00,53.2076,40.5176,0.0,16.45374
79,2014-03-21 04:00:00+00:00,51.9476,32.5976,0.0,11.720257
80,2014-03-22 04:00:00+00:00,63.5576,35.2076,0.0,13.984381
81,2014-03-23 04:00:00+00:00,43.847603,32.2376,0.0,10.963583
82,2014-03-24 04:00:00+00:00,36.5576,24.4076,0.0,10.851179
83,2014-03-25 04:00:00+00:00,37.6376,24.0476,0.11811024,8.325127
84,2014-03-26 04:00:00+00:00,36.7376,28.2776,0.01968504,21.205532
85,2014-03-27 04:00:00+00:00,43.037598,23.867601,0.0,10.408663
86,2014-03-28 04:00:00+00:00,59.8676,33.4976,0.027559055,16.650253
87,2014-03-29 04:00:00+00:00,53.1176,43.667603,0.8503937,12.311632
88,2014-03-30 04:00:00+00:00,52.667603,37.7276,0.9370078,15.029577
89,2014-03-31 04:00:00+00:00,56.807602,35.6576,0.09055118,16.261005
90,2014-04-01 04:00:00+00:00,58.4276,32.8676,0.0,8.790015
91,2014-04-02 04:00:00+00:00,58.4276,39.4376,0.06692914,6.6095686
92,2014-04-03 04:00:00+00:00,63.737602,42.5876,0.074803144,8.724299
93,2014-04-04 04:00:00+00:00,48.7976,42.8576,0.29921257,13.451794
94,2014-04-05 04:00:00+00:00,54.6476,41.597603,0.0,16.076855
95,2014-04-06 04:00:00+00:00,57.167603,32.8676,0.0,8.750073
96,2014-04-07 04:00:00+00:00,51.4076,35.2976,0.35433075,11.406507
97,2014-04-08 04:00:00+00:00,62.567596,47.2676,0.18503937,16.009796
98,2014-04-09 04:00:00+00:00,60.7676,38.5376,0.0,12.974599
99,2014-04-10 04:00:00+00:00,63.917595,36.8276,0.0,13.251275
100,2014-04-11 04:00:00+00:00,75.347595,53.5676,0.09448819,12.719464
101,2014-04-12 04:00:00+00:00,70.2176,47.7176,0.0511811,9.125205
102,2014-04-13 04:00:00+00:00,78.4076,50.5076,0.0,14.786214
103,2014-04-14 04:00:00+00:00,74.4476,60.2276,0.003937008,19.312193
104,2014-04-15 04:00:00+00:00,66.2576,37.8176,0.7480314,18.615551
105,2014-04-16 04:00:00+00:00,47.8976,31.8776,0.07874016,16.331633
106,2014-04-17 04:00:00+00:00,51.0476,33.4076,0.0,9.440564
107,2014-04-18 04:00:00+00:00,52.9376,36.8276,0.0,5.7032533
108,2014-04-19 04:00:00+00:00,65.26759,39.2576,0.0,8.770067
109,2014-04-20 04:00:00+00:00,58.4276,42.0476,0.0,10.997762
110,2014-04-21 04:00:00+00:00,66.2576,35.1176,0.0,6.7703905
111,2014-04-22 04:00:00+00:00,72.01759,44.2076,0.05511811,8.950796
112,2014-04-23 04:00:00+00:00,56.8976,46.6376,0.0,18.855932
113,2014-04-24 04:00:00+00:00,59.6876,40.3376,0.0,14.436884
114,2014-04-25 04:00:00+00:00,63.2876,39.1676,0.16535434,12.737158
115,2014-04-26 04:00:00+00:00,68.1476,47.2676,0.31889763,15.029576
116,2014-04-27 04:00:00+00:00,59.8676,43.667603,0.0,11.546041
117,2014-04-28 04:00:00+00:00,62.8376,39.6176,0.027559057,7.109297
118,2014-04-29 04:00:00+00:00,49.4276,43.667603,0.25984251,15.706862
119,2014-04-30 04:00:00+00:00,61.1276,43.7576,1.6023622,14.5680065
120,2014-05-01 04:00:00+00:00,73.9076,60.947598,0.28740156,11.625945
121,2014-05-02 04:00:00+00:00,65.1776,52.0376,0.0,12.081872
122,2014-05-03 04:00:00+00:00,67.9676,49.6076,0.0,11.931831
123,2014-05-04 04:00:00+00:00,60.3176,49.8776,0.007874016,14.8554325
124,2014-05-05 04:00:00+00:00,65.26759,45.917603,0.0,12.189084
125,2014-05-06 04:00:00+00:00,68.7776,45.917603,0.0,9.8529625
126,2014-05-07 04:00:00+00:00,67.6076,44.7476,0.0,7.105777
127,2014-05-08 04:00:00+00:00,68.417595,52.7576,0.14173229,7.436133
128,2014-05-09 04:00:00+00:00,73.8176,54.8276,0.023622049,7.436133
